Year,Program,Type,State,Total_institutions,New_institutions,Closed_institutions,Intake,Girls_enrollment,Boys_enrolment,Faculties,Passed,Placement,Enrollment,Placement_Rate_Percentage,Pass_ Rate_Percentage,Student to Faculty Ratio,Girls_Enrollment_Percentage,Boys_Enrollment_Percentage
2016-01-01,Pharmacy,Private,Andhra Pradesh,117.0,0.0,0.0,12930.0,4345.0,2800.0,3102.0,5243.0,2258.0,7145.0,31.602519244226734,73.37998600419874,2.3033526756931013,60.81175647305809,39.18824352694192
2017-01-01,Pharmacy,Private,Andhra Pradesh,117.0,0.0,0.0,12290.0,4676.0,3110.0,4151.0,5710.0,2537.0,7786.0,32.58412535319805,73.33675828409967,1.875692604191761,60.05651168764449,39.943488312355505
2018-01-01,Pharmacy,Private,Andhra Pradesh,117.0,0.0,0.0,11950.0,5132.0,3085.0,3681.0,4770.0,2093.0,8217.0,25.471583302908602,58.050383351588174,2.2322738386308068,62.455884142631135,37.54411585736887
2019-01-01,Pharmacy,Private,Andhra Pradesh,114.0,3.0,0.0,10505.0,4449.0,2959.0,4271.0,4820.0,2748.0,7408.0,37.095032397408204,65.06479481641469,1.7344884102083822,60.05669546436285,39.94330453563715
2020-01-01,Pharmacy,Private,Andhra Pradesh,119.0,3.0,0.0,10829.0,4881.0,2927.0,4673.0,2900.0,2918.0,7808.0,37.3719262295082,37.14139344262295,1.6708752407447036,62.512807377049185,37.48719262295082
2021-01-01,Pharmacy,Private,Andhra Pradesh,103.0,0.0,0.0,9430.0,3163.0,1896.0,4104.0,3485.0,1689.0,5059.0,33.38604467286025,68.887131844238,1.232699805068226,62.52223759636292,37.47776240363708
2013-01-01,Engineering,Government,Andhra Pradesh,9.0,0.0,0.0,3470.0,1236.0,1416.0,1041.0,2794.0,1070.0,2652.0,40.346907993966816,105.35444947209653,2.547550432276657,46.60633484162896,53.39366515837104
2014-01-01,Engineering,Government,Andhra Pradesh,9.0,0.0,0.0,3470.0,1591.0,2029.0,840.0,2794.0,1070.0,3620.0,29.55801104972376,77.18232044198895,4.309523809523809,43.950276243093924,56.049723756906076
2015-01-01,Engineering,Government,Andhra Pradesh,10.0,1.0,0.0,3500.0,1331.0,1421.0,1142.0,2875.0,1135.0,2752.0,41.24273255813954,104.46947674418605,2.4098073555166373,48.36482558139535,51.63517441860465
2016-01-01,Engineering,Government,Andhra Pradesh,13.0,0.0,0.0,4340.0,1591.0,2029.0,840.0,3108.0,1470.0,3620.0,40.607734806629836,85.85635359116021,4.309523809523809,43.950276243093924,56.049723756906076
2017-01-01,Engineering,Government,Andhra Pradesh,12.0,0.0,0.0,3820.0,1438.0,1821.0,1055.0,3014.0,1007.0,3259.0,30.899048787971772,92.4823565510893,3.0890995260663505,44.12396440625959,55.87603559374041
2018-01-01,Engineering,Government,Andhra Pradesh,14.0,1.0,0.0,4540.0,1754.0,2162.0,910.0,3538.0,1201.0,3916.0,30.66905005107252,90.34729315628192,4.303296703296703,44.790602655771195,55.209397344228805
2019-01-01,Engineering,Government,Andhra Pradesh,14.0,0.0,0.0,4570.0,1643.0,2031.0,958.0,3272.0,1437.0,3674.0,39.11268372346217,89.05824714207947,3.835073068893528,44.71965160587915,55.28034839412085
2020-01-01,Engineering,Government,Andhra Pradesh,16.0,2.0,0.0,5020.0,1976.0,2329.0,1914.0,3261.0,1461.0,4305.0,33.937282229965156,75.74912891986062,2.249216300940439,45.90011614401858,54.09988385598141
2021-01-01,Engineering,Government,Andhra Pradesh,17.0,0.0,0.0,5422.0,1669.0,2111.0,2280.0,3586.0,1460.0,3780.0,38.62433862433862,94.86772486772487,1.6578947368421053,44.15343915343916,55.84656084656084
2013-01-01,Engineering,Private,Andhra Pradesh,349.0,2.0,5.0,121275.0,27160.5,53573.5,31945.0,57667.5,23104.0,77376.5,29.85919497521857,74.52844209805303,2.422178744717483,35.101742777199796,69.23742996904745
2014-01-01,Engineering,Private,Andhra Pradesh,335.0,1.0,7.0,121275.0,27160.5,53573.5,31945.0,57667.5,23807.5,77376.5,30.76838575019547,74.52844209805303,2.422178744717483,35.101742777199796,69.23742996904745
2015-01-01,Engineering,Private,Andhra Pradesh,334.0,0.0,4.0,121275.0,27160.5,53084.0,31945.0,57667.5,23807.5,77376.5,30.76838575019547,74.52844209805303,2.422178744717483,35.101742777199796,68.60480895362286
2016-01-01,Engineering,Private,Andhra Pradesh,325.0,1.0,5.0,121275.0,27160.5,53573.5,31945.0,57667.5,23807.5,77376.5,30.76838575019547,74.52844209805303,2.422178744717483,35.101742777199796,69.23742996904745
2017-01-01,Engineering,Private,Andhra Pradesh,317.0,1.0,2.0,121275.0,27160.5,51921.0,31945.0,57667.5,23807.5,77376.5,30.76838575019547,74.52844209805303,2.422178744717483,35.101742777199796,67.10176862484087
2018-01-01,Engineering,Private,Andhra Pradesh,307.0,0.0,3.0,121275.0,27160.5,50453.0,31945.0,57667.5,23807.5,77376.5,30.76838575019547,74.52844209805303,2.422178744717483,35.101742777199796,65.20455176959413
2019-01-01,Engineering,Private,Andhra Pradesh,291.0,2.0,1.0,121275.0,27160.5,50013.0,31945.0,57667.5,23807.5,77376.5,30.76838575019547,74.52844209805303,2.422178744717483,35.101742777199796,64.6359036658417
2020-01-01,Engineering,Private,Andhra Pradesh,289.0,1.0,0.0,121275.0,27160.5,53278.0,31945.0,56944.0,23807.5,77376.5,30.76838575019547,73.59340368199648,2.422178744717483,35.101742777199796,68.85553107209553
2021-01-01,Engineering,Private,Andhra Pradesh,278.0,0.0,0.0,121275.0,27160.5,53573.5,31945.0,57667.5,23807.5,77376.5,30.76838575019547,74.52844209805303,2.422178744717483,35.101742777199796,69.23742996904745
2013-01-01,Management,Private,Andhra Pradesh,414.0,3.0,7.5,44890.0,9506.0,15612.0,10463.0,20416.0,7289.0,25118.0,29.019030177561906,81.28035671629907,2.400649909203861,37.84536985428776,62.15463014571224
2014-01-01,Management,Private,Andhra Pradesh,394.0,2.0,7.5,45030.0,8958.0,19553.0,13244.0,21061.0,7870.0,28511.0,27.60338115113465,73.86973448844306,2.152748414376321,31.419452141278803,68.5805478587212
2015-01-01,Management,Private,Andhra Pradesh,393.0,3.0,3.0,51510.0,10303.0,22461.0,15255.0,23760.0,8784.0,32764.0,26.80991331949701,72.51861799536076,2.147754834480498,31.4460993773654,68.5539006226346
2016-01-01,Management,Private,Andhra Pradesh,382.0,2.0,6.0,50430.0,11482.0,23406.0,6596.0,24792.0,9279.0,34888.0,26.596537491401058,71.06168310020638,5.2892662219526985,32.911029580371476,67.08897041962852
2017-01-01,Management,Private,Andhra Pradesh,375.0,1.0,4.0,48900.0,10956.0,18784.0,9878.0,24783.0,9824.0,29740.0,33.0329522528581,83.33221250840619,3.0107309171897145,36.83927370544721,63.160726294552795
2018-01-01,Management,Private,Andhra Pradesh,360.0,0.0,5.0,46698.0,11727.0,20639.0,6655.0,22822.0,9681.0,32366.0,29.91101773465983,70.51226595810418,4.863410969196093,36.2324661682012,63.76753383179881
